,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,NAME,WEB PAGE,EMAIL,,,,,,,,,,,,,,
,Little Angels Rabbit Rescue (Romford) ,https://www.rescuereview.co.uk/rescue/little-angels-rabbit-rescue-967/,admin@littleangelsrabbitrescue.com,,,,,,,,,,,,,,
,Greyhound Lifeline (Fleet) ,https://www.greyhoundlifeline.co.uk/,enquiries@greyhoundlifeline.co.uk ,,,,,,,,,,,,,,
,Southern Counties German Shepherd Rescue (Linwood),https://southerncountiesgsdrescue.co.uk/,alison@southerncountiesgsdrescue.co.uk ,,,,,,,,,,,,,,
,Lymington Cat & Kitten Rescue ,https://www.lymicat.org/,info@lymicat.org ,,,,,,,,,,,,,,
,The Labrador Lifeline Trust (Tadley) ,https://labrador-lifeline.com/,info@labrador-lifeline.com,,,,,,,,,,,,,,
,"GSDR, German Shepherd Dog Rescue (Marden)",https://www.germanshepherdrescue.co.uk/,info@germanshepherdrescue.co.uk,,,,,,,,,,,,,,
,RSCPA Tameside and Glossop Branch (Ashton under Lyne) ,https://rspca-tameside-glossop.org.uk/,office@rspca-tameside-glossop.org.uk,,,,,,,,,,,,,,
,Manchester & Cheshire Dogs' Home (Harpurhey) ,https://dogshome.net/,https://dogshome.net/contact/,,,,,,,,,,,,,,
,Rochdale Dog Rescue ,http://www.rochdale-dog-rescue.com/,http://www.rochdale-dog-rescue.com/contact.html,,,,,,,,,,,,,,
,Futures For Dogs ,https://www.facebook.com/futuresfordogs/,futuresfordogs@aol.com ,,,,,,,,,,,,,,
,Friends Of Animals League (Biggin Hill) ,https://www.foalfarm.org.uk/,info@foalfarm.org.uk,,,,,,,,,,,,,,
,Last Chance Animal Rescue Centre (Edenbridge) ,https://www.lastchanceanimalrescue.co.uk/,https://www.lastchanceanimalrescue.co.uk/contact/index.php,,,,,,,,,,,,,,
,Kent Greyhound Rescue (Hythe),https://www.kentgreyhoundrescue.com/,https://www.kentgreyhoundrescue.com/contact-us/,,,,,,,,,,,,,,
,All Dogs Rescue ,https://www.alldogsrescue.com/,alldogsrescue@rocketmail.com,,,,,,,,,,,,,,
,Streetkatz Rescue (Lamberhurst) ,https://www.streetkatzrescue.com/,streetkatzinfo@gmail.com  ,,,,,,,,,,,,,,
,Large Breed Dog Rescue (Maidstone),https://www.facebook.com/LargeBreedDogRescue/,lbdr.adoption@gmail.com ,,,,,,,,,,,,,,
,Anim Mates (Rochester) ,https://www.anim-mates.org.uk/,info@anim-mates.org.uk,,,,,,,,,,,,,,
,"SEDR, South East Dog Rescue (Swanley)",https://www.sedogrescue.co.uk/,https://www.sedogrescue.co.uk/contact/,,,,,,,,,,,,,,
,The Retreat Animal Rescue (Swanley) ,https://www.retreatanimalrescue.org.uk/,theretreatanimalrescue@btinternet.com,,,,,,,,,,,,,,
,The Destitute Animal Shelter (Bolton) ,https://boltonanimalshelter.org.uk/,https://boltonanimalshelter.org.uk/contact-us/,,,,,,,,,,,,,,
,Bleakholt Animal Sanctuary (Bury) ,https://www.bleakholt.org/,info@bleakholt.org,,,,,,,,,,,,,,
,Animal Care (Lancaster) ,https://www.animalcare-lancaster.co.uk/,rehoming@animalcare-lancaster.co.uk,reception@animalcare-lancaster.co.uk,,,,,,,,,,,,,
,Wolfwood Wildlife Rescue and Rehabilitation (Lancaster),https://www.wolfwood.co.uk/,dogs@wolfwood.co.uk,,,,,,,,,,,,,,
,Easterleigh Animal Sanctuary (Lytham St Anne's) ,https://www.easterleigh.org.uk/,easterleighanimals@yahoo.com,,,,,,,,,,,,,,
,RSPCA (Preston) ,https://www.rspca-preston.org.uk/,info@rspca-preston.org.uk,,,,,,,,,,,,,,
,Lincs Ark Animal Welfare (Boston) ,https://www.lincsark.co.uk/,lincsarkcharity@gmail.com ,,,,,,,,,,,,,,
,RSPCA Lincolnshire East (Boston) ,https://www.rspca-lincseast.org.uk/,info@rspca-lincseast.org.uk ,rehoming@rspca-lincseast.org.uk ,,,,,,,,,,,,,
,Second Chance Cat Rescue (Keelby) ,https://northlincsweb.net/SCCR/,info@secondchancecatrescue.org.uk,,,,,,,,,,,,,,
,Lincoln Rat Rescue ,https://lincolnratrescue.webs.com/,lincolnratrescue@googlemail.com ,,,,,,,,,,,,,,
,Great Dane Adoption Society (New Leake),http://www.danes.org.uk/,information@danes.org.uk ,,,,,,,,,,,,,,
,Cats In Crisis (Newhaven Drive),https://www.catsincrisis.org.uk/,enquiries@catsincrisis.org.uk ,,,,,,,,,,,,,,
,The Ark Animal Rescue & Retirement Home (North Somercotes) ,https://arkanimalrescue.co.uk/,https://arkanimalrescue.co.uk/contact-us/,,,,,,,,,,,,,,
,Keiths Rescue Dogs (Skegness) ,https://www.facebook.com/KeithsRescueDogs,info@keithsrescuedogs.org.uk ,,,,,,,,,,,,,,
,Hope Rescue (Ulceby) ,https://www.hoperescue.org.uk/,enquiries@hoperescue.org.uk,,,,,,,,,,,,,,
,Freshfields Animal Rescue Liverpool Centre ,https://www.freshfields.org.uk/,kennels@freshfields.org.uk,wildlife@freshfields.org.uk,wales@freshfields.org.uk,,,,,,,,,,,,
,Boxer Dog Rescue Northern England ,https://www.boxerdogrescue.co.uk/,https://www.boxerdogrescue.co.uk/contact,,,,,,,,,,,,,,
,Hounslow Animal Welfare Society ,https://www.haws-animals.org.uk/,cats@haws-animals.org.uk,otheranimals@haws-animals.org.uk,,,,,,,,,,,,,
,Feline Care Cat Rescue (East Harling) ,http://www.felinecare.org.uk/,info@felinecare.org.uk,,,,,,,,,,,,,,
,Foxy Lodge Wildlife Rescue (Great Yarmouth) ,http://www.foxylodge.yolasite.com/,jgarner1@toucansurf.com,,,,,,,,,,,,,,
,Norfolk & Suffolk Animal Rescue (Great Yarmouth) ,https://www.nasatrust.co.uk/,https://www.nasatrust.co.uk/contact_us,,,,,,,,,,,,,,
,PACT Animal Sanctuary (Hingham) ,https://www.pactsanctuary.org/,https://www.pactsanctuary.org/contact.html,,,,,,,,,,,,,,
,"Redwings Horse Sanctuary (Norwich,) ",https://www.redwings.org.uk/,https://www.redwings.org.uk/contact-us,,,,,,,,,,,,,,
,Northamptonshire Animals Needing Nurturing & Adoption (Irthlingborough) ,https://www.facebook.com/NANNAANIMALRESCUE1/,nanna04@btinternet.com ,,,,,,,,,,,,,,
,Brook Farm Animal Sanctuary (Raunds) ,https://www.bfas.org.uk/,admin@bfas.org.uk ,,,,,,,,,,,,,,
,Animals In Need (Wellingborough),https://animals-in-need.org/,admin@animals-in-need.org,,,,,,,,,,,,,,
,"B.A.R.K., Berwick Animal Rescue Kennels ",https://b-a-r-k.co.uk/,info@b-a-r-k.co.uk,,,,,,,,,,,,,,
,Blyth Wildlife Rescue ,https://www.blythwildliferescue.co.uk/,office@b-w-r.org.uk,,,,,,,,,,,,,,
,Border Collie Rescue (Richmond),http://www.bordercollierescue.org/,hq@bordercollierescue.org,,,,,,,,,,,,,,
,Animal Hostel Trust (Scarbrorough) ,https://www.allforhorses.org.uk/,allforhorses@outlook.com,,,,,,,,,,,,,,
,"Whitby & Scarborough, Dog Rescue ",https://www.whitbydogrescue.com/,enquiries@whitbydogrescue.com,,,,,,,,,,,,,,
,RSPCA York Animal Home ,https://www.rspca-yorkhome.org.uk/,reception@rspca-yorkhome.org.uk,,,,,,,,,,,,,,
,Notts and Yorkshire Boxer Rescue (Arnold) ,https://www.nayboxerrescue.co.uk/,Info@nayboxerrescue.co.uk,,,,,,,,,,,,,,
,"BARK, Babworth Animal Rescue Kennels",http://www.barkonline.co.uk/,elaine@barkonline.co.uk,,,,,,,,,,,,,,
,Brinsley Animal Rescue ,https://brinsleyanimalrescue.org/,info@brinsleyanimalrescue.org,,,,,,,,,,,,,,
,Pet Welfare (Kirkby) ,http://www.petwelfare.co.uk/,Info@petwelfare.co.uk ,,,,,,,,,,,,,,
,One Paw At a Time Dog Rescue UK & Romania ,https://onepawatatimedogrescue.co.uk/,onepawatatimedogrescue@gmail.com,,,,,,,,,,,,,,
,Babbington Rescue Centre (Westby Lane) ,https://www.babbington-rescue.org.uk/,babbington21@btopenworld.com,,,,,,,,,,,,,,
,"B.A.R.K.S, Banbury Animal Rescue and Kindness Service",https://www.barks.org.uk/,barks2010@hotmail.co.uk,,,,,,,,,,,,,,
,Donkey Rescue UK (Bridgnorth) ,https://www.severnvalleyrescue.org/,info@severnvalleyrescue.org,,,,,,,,,,,,,,
,Grinshill Animal Rescue Centre (Shrewsbury),https://www.grinshillanimalrescue.co.uk/,jennyandkateatgar@tiscali.co.uk,https://www.grinshillanimalrescue.co.uk/contactgrinshillanimalrescue,,,,,,,,,,,,,
,Bath Cats and Dogs Home ,https://www.bathcatsanddogshome.org.uk/,reception@bcdh.org.uk,,,,,,,,,,,,,,
,The Labrador Rescue Trust (Bridgwater),https://labrador-rescue.org/,carol.smith@labrador-rescue.com,ruth.reeves@labrador-rescue.com,susan.platford@labrador-rescue.com,,,,,,,,,,,,
,Secret World Wildlife Rescue (Highbridge) ,https://www.secretworld.org/,reception@secretworld.org,,,,,,,,,,,,,,
,Somerset & Dorset Animal Rescue (Wincanton) ,https://www.somersetanddorsetanimalrescue.co.uk/,https://www.somersetanddorsetanimalrescue.co.uk/contact/,,,,,,,,,,,,,,
,Cheadle Animal Welfare ,https://www.cheadleanimalwelfare.org.uk/,cheadleanimalwelfare@hotmail.co.uk,,,,,,,,,,,,,,
,Animal Lifeline (Stoke on Trent) ,https://www.animallifeline.org.uk/wp/,https://www.animallifeline.org.uk/wp/contact-us/,,,,,,,,,,,,,,
,Bury's Stray Cat Fund ,http://www.burystraycatfund.co.uk/,info@burystraycatfund.co.uk ,,,,,,,,,,,,,,
,Harper Asprey Wildlife Rescue (Camberley) ,https://hawr.co.uk/,nfo@hawr.co.uk ,,,,,,,,,,,,,,
,Doris Banham Dog Rescue (Cranleigh) ,https://www.dorisbanhamdogrescue.org/wp/,https://www.dorisbanhamdogrescue.org/wp/contact/,,,,,,,,,,,,,,
,The Original Cat Action Trust (Croydon) ,http://www.catactiontrust.org.uk/,http://www.catactiontrust.org.uk/index.php/contact-us,,,,,,,,,,,,,,
,"Lurcher SOS, Lurcher and Greyhound Rescue (Esher) ",https://www.lurchersos.org.uk/,https://www.lurchersos.org.uk/contact-us,,,,,,,,,,,,,,
,Celia Cross Greyhound Trust (Guildford) ,https://celiacross.org.uk/,info@celiacross.org.uk ,,,,,,,,,,,,,,
,Greyhounds4u (Hersham),https://www.greyhounds4u.co.uk/,homing@greyhounds4u.co.uk,https://www.greyhounds4u.co.uk/contact.html,,,,,,,,,,,,,
,Epsom Canine Rescue (Horley) ,http://www.epsomcaninerescue.co.uk/,admin@epsomcaninerescue.org.uk ,,,,,,,,,,,,,,
,Dogs Walk This Way Rescue,https://dogswalkthiswayrescue.com/index.html,dogswalkthiswayrescue@mail.com ,,,,,,,,,,,,,,
,Rescue Remedies (Richmond),https://www.rescueremedies.co.uk/,https://rescueremedies.wufoo.com/forms/rescue-remedies-contact-form/,,,,,,,,,,,,,,
,Animal Mission (Tadworth) ,http://www.animalmission.org.uk/,+44 0 1737 243472,,,,,,,,,,,,,,
,"STAR, Starlight Trust Animal Rescue (Wallington) ",https://starlighttrust.org.uk/, contact@starlighttrust.org.uk,,,,,,,,,,,,,,
,Clymping Dog Sanctuary (Arundel) ,http://clympingdogsanctuary.co.uk/,http://clympingdogsanctuary.co.uk/,,,,,,,,,,,,,,
,Mid Sussex Happy Breed Dog Rescue Society (Burgess Hill) ,http://www.happybreed.co.uk/,carole@happybreed.co.uk,lin@happybreed.co.uk,,,,,,,,,,,,,
,The Cat & Rabbit Rescue Centre (Chichester,https://crrc.co.uk/,info@crrc.co.uk,,,,,,,,,,,,,,
,Paws & Claws Animal Rescue Service (Sayers Common) ,https://www.pawsandclaws-ars.org.uk/,info@pawsandclaws-ars.org.uk,,,,,,,,,,,,,,
,Sussex Pet Rescue (Storrington) ,https://sussexpetrescue.org/,info@sussexpetrescue.org,,,,,,,,,,,,,,
,Nuneaton Warwickshire Wildlife Sanctuary ,https://nuneatonwildlife.co.uk/,nuneatonwildlife@gmail.com,,,,,,,,,,,,,,
,Avon Cat Rescue (Welford on Avon) ,https://www.avoncatrescue.org/,avoncatrescuewelford@gmail.com,,,,,,,,,,,,,,
,Birmingham Dogs Home ,https://birminghamdogshome.org.uk/,info@birminghamdogshome.org.uk ,,,,,,,,,,,,,,
,Ruff Luck Rescue (Birmingham) ,https://www.ruffluckrescue.org/,thedogtrustees@gmail.com ,,,,,,,,,,,,,,
,Coventry Cat Group ,https://coventrycatgroup.org.uk/,FBenquiries@coventrycatgroup.org.uk ,,,,,,,,,,,,,,
,Wild Acre Rescue (Cradley Heath) ,http://wildacrerescue.co.uk/,wildacrerescue@aol.com,,,,,,,,,,,,,,
,Cocker And English Springer Spaniel Rescue (River Mersey) ,https://www.caessr.org.uk/,ian@caessr.org.uk,,,,,,,,,,,,,,
,Dog Watch UK (Sutton Coldfield) ,http://www.dogwatchuk.com/,https://dogwatchuk.wufoo.com/forms/dogwatch-uk-enquiries/,,,,,,,,,,,,,,
,"AVAR, Aldridge Voluntary Animal Rescue",http://www.aldridgerescue.co.uk/,info@aldridgerescue.co.uk,,,,,,,,,,,,,,
,Midlands Animal Rescue Team (Walsall) ,https://www.midlandsanimalrescue.com/,marteileenw@gmail.com,,,,,,,,,,,,,,
,Cats Action Trust North & West Wiltshire (Melksham),https://www.catsactiontrust.org.uk/,catsactiontrust@gmail.com,,,,,,,,,,,,,,
,RSPCA North Wiltshire (Swindon) ,https://www.rspca.org.uk/local/north-wiltshire-and-newbury-district-branch,admin@rspcaoandf.org.uk,,,,,,,,,,,,,,
,Wagtails Dog Rescue,https://www.facebook.com/WagtailsRescueEssex/,wagtailsrescue@mail.com ,,,,,,,,,,,,,,
,Remus Memorial Horse Sanctuary (Ingatestone),https://www.remussanctuary.org/,info@remussanctuary.org,,,,,,,,,,,,,,
,Evesham Greyhound & Lurcher Rescue (Ashton Under Hill),https://lurcher.org.uk/,mail@lurcher.org.uk,,,,,,,,,,,,,,
,Worcestershire Animal Rescue Shelter (Deblins Green),https://www.wars.org.uk/,info@wars.org.uk,,,,,,,,,,,,,,
,Forest Dog Rescue (Far Forest) ,https://www.forest-dog-rescue.org.uk/,info@forest-dog-rescue.org.uk ,,,,,,,,,,,,,,
,Happy Staffie Rescue (Kidderminster) ,https://www.happystaffie.co.uk/,info@happystaffie.co.uk,,,,,,,,,,,,,,
,"BADAW, Barnsley and District Animal Welfare ",https://www.badaw.org/,https://www.badaw.org/contact-us/,,,,,,,,,,,,,,
,"BARC, Barnsley Animal Rescue Charity ",https://barnsleyanimalrescue.org.uk/,https://barnsleyanimalrescue.org.uk/contact/,,,,,,,,,,,,,,
,RSPCA South Yorkshire Animal Centre (Bawtry) ,https://www.rspca.org.uk/local/doncaster-rotherham-and-district-branch,info@rspcadrb.org.uk,,,,,,,,,,,,,,
,Keighley Cat Care (Bradford) ,http://www.keighleycatcare.co.uk/,kcccats@gmail.com,,,,,,,,,,,,,,
,Yorkshire Rose Dog Rescue (Gomersal) ,https://yrdr.co.uk/,https://yrdr.co.uk/contact/,,,,,,,,,,,,,,
,Tia Greyhound and Lurcher Rescue (Halifax) ,https://www.tiagreyhoundandlurcherrescue.co.uk/,info@tia-rescue.org,,,,,,,,,,,,,,
,Haworth Animal Welfare Cat Rescue ,https://yorkshirecatrescue.org/,https://yorkshirecatrescue.org/Pages/Contact.aspx,,,,,,,,,,,,,,
,RSPCA Leeds & Wakefield District ,https://www.rspcaleedsandwakefield.org.uk/,info@rspcaleedsandwakefield.org.uk ,,,,,,,,,,,,,,
,Mayflower Sanctuary (Nr Doncaster) ,https://mayflowersanctuary.co.uk/,info@mayflowersanctuary.co.uk,,,,,,,,,,,,,,
,Rain Rescue Cats (Rotherham) ,https://rainrescue.co.uk/,dogs@rainrescue.co.uk and,cats@rainrescue.co.uk,,,,,,,,,,,,,
,Sheffield Cats Shelter ,https://thesheffieldcatsshelter.org/,info@thesheffieldcatsshelter.org.uk,,,,,,,,,,,,,,
,Sheffield Dog Rescue ,,,,,,,,,,,,,,,,
