name,city,country,address,postal_code,email,phone,website,_source,_review_needed,_salvage_reason,_file,_reason
"N.A.R.C, Navan Animal Rescue Corporation",,CANADA +1,,,donations@narc-charity.ca,,https://www.facebook.com/NavanAnimalRescueCorporation,clean,no,,,Not found in database
Niagara Dog Rescue (Niagara Falls),,CANADA +1,,,info@niagaradogrescue.org,,http://www.niagaradogrescue.com/,clean,no,,,Not found in database
The Comfie Cat Shelter (Orillia),,CANADA +1,,,info@comfiecatshelter.ca,,https://comfiecatshelter.wixsite.com/comfiecats,clean,no,,,Not found in database
"B.A.R.K., Bytown Association for Rescued Kanines (Ottawa)",,CANADA +1,,,smckeil@primus.ca,,http://www.bark-ottawa.com/,clean,no,,,Not found in database
Ottawa Dog Rescue,,CANADA +1,,,admin@ottawadogrescue.com,,https://otowndogrescue.com/,clean,no,,,Not found in database
Loyal Rescue Inc. (Peterborough),,CANADA +1,,,info@loyalrescue.com,,https://www.loyalrescue.com/,clean,no,,,Not found in database
Forgotten Ones Cat Rescue & Adoption (Richmond Hill),,CANADA +1,,,contact@forgottenones.ca,,http://www.forgottenones.ca/,clean,no,,,Not found in database
L.A.W.S. Lanark Animal Welfare Society (Smith Falls),,CANADA +1,,,shelter@lanarkanimals.ca,,https://www.lanarkanimals.ca/,clean,no,,,Not found in database
Pets Alive Niagara (St. Catharines),,CANADA +1,,,petsaliveniagara@gmail.com,,https://www.petsaliveniagara.ca/site/home,clean,no,,,Not found in database
Pet Patrol Inc. (St. Clements),,CANADA +1,,,askus@petpatrol.ca,,http://www.petpatrol.ca/,clean,no,,,Not found in database
Adopt A Dog/Save A Life (Toronto),,CANADA +1,,,info@adoptadogsavealife.com,,https://www.adoptadogsavealife.com/index.html,clean,no,,,Not found in database
Annex Cat Rescue (Toronto),,CANADA +1,,,info@annexcatrescue.ca,,https://annexcatrescue.ca/,clean,no,,,Not found in database
"EHS, Etobicoke Humane Society (Toronto)",,CANADA +1,,,info@etobicokehumanesociety.com,,https://etobicokehumanesociety.com/,clean,no,,,Not found in database
Jack Russell Terrier Rescue of Ontario (Toronto),,CANADA +1,,,board@russellrescue.org,,https://russellrescue.org/,clean,no,,,Not found in database
Toronto Cat Rescue,,CANADA +1,,,info@torontocatrescue.ca,,https://www.torontocatrescue.ca/,clean,no,,,Not found in database
"AVA, Action Volunteers for Animals (Unionville)",,CANADA +1,,,ava@actionvolunteersforanimals.com,,https://www.avacats.org/,clean,no,,,Not found in database
PEI Humane Society (Charlottetown),,CANADA +1,,,info@peihumanesociety.com,,https://peihumanesociety.com/,clean,no,,,Not found in database
SPCA of Western Quebec (Gatineau),,CANADA +1,,,ahspca@storm.ca,,http://www.aylmer-hull-spca.qc.ca/main_e.html,clean,no,,,Not found in database
Réseau d'aide aux animaux abandonnés et errants de la Mauricie,,CANADA +1,,,RAAAEMauricie@gmail.com,,https://www.raaaemauricie.org/,clean,no,,,Not found in database
"A.R.N., Animal Rescue Network (Montreal)",,CANADA +1,,,communications.rsa.arn@gmail.com,,https://www.reseausecoursanimal.org/,clean,no,,,Not found in database
Frontier Animal Society (Stanstead),,CANADA +1,,,frontieranimalsociety@gmail.com,,http://www.safas.ca/,clean,no,,,Not found in database
Adoption Mona Lisa (Thetford Mines),,CANADA +1,,,adoptionmonalise@hotmail.com,,https://adoptionmonalise.qc.ca/,clean,no,,,Not found in database
"West Suburban Humane Society, Inc.",,US +1,,,development@wshs-dg.org,,https://www.wshs-dg.org/,clean,no,,,Not found in database
"SCAT, Saskatoon Street Cat Rescue",,CANADA +1,,,contact@streetcat.ca,,https://streetcat.ca/,clean,no,,,Not found in database
Smeaton & Area Homeless Cat Shelter,,CANADA +1,,,pets@petfinder.com,,https://awos.petfinder.com/shelters/SK17.html,clean,no,,,Not found in database
SOS Prairie Rescue,,CANADA +1,,,beattheheat@sosprairierescue.com,,https://www.sosprairierescue.com/,clean,no,,,Not found in database
Windmill Animal Rescue,,US +1,,,windmillanimalrescue@yahoo.com,,https://www.windmillanimalrescue.com/,clean,no,,,Not found in database
Adopt A Greyhound Atlanta,,US +1,,,adopt@greyhounds2.org,,http://greyhounds2.org/?petwalk,clean,no,,,Not found in database
Atlanta Lab Rescue,,US +1,,,info@atlantalabrescue.com,,https://www.atlantalabrescue.com/,clean,no,,,Not found in database
Furkids and SmallDog Rescue & Humane Society,,US +1,,,info@furkids.org,,https://furkids.org/,clean,no,,,Not found in database
Golden Retriever Rescue of Atlanta,,US +1,,,adoptabledogs@grra.com,,https://www.grra.com/,clean,no,,,Not found in database
"Laskeys Lucky Ones and Volunteers, LLOV",,US +1,,,laskeysluckyones@gmail.com,,https://llovorg.wordpress.com/,clean,no,,,Not found in database
LifeLine Animal Project,,US +1,,,info@lifelineanimal.org,,https://lifelineanimal.org/,clean,no,,,Not found in database
Orphan Annie Rescue,,US +1,,,info@orphanannierescue.org,,https://www.orphanannierescue.org/,clean,no,,,Not found in database
Castoff Pet Rescue,,US +1,,,ssegce@gmail.com,,https://castoffpetrescue.org/,clean,no,,,Not found in database
Mountain Shelter Humane Society,,US +1,,,contact@pawsga.org,,https://pawsga.org/,clean,no,,,Not found in database
Humane Society of Blue Ridge,,US +1,,,humanesociety@humanesocietyofblueridge.org,,https://www.humanesocietyofblueridge.org/,clean,no,,,Not found in database
Pawtropolis Helping Paws Rescue,,US +1,,,bark@pawtropolis.com,,http://www.pawtropolis.com/helping-paws-rescue/adoptables.php,clean,no,,,Not found in database
"Petzone Dog Rescue, Inc.",,US +1,,,petzonedogs@gmail.com,,,clean,no,,,Not found in database
Humane Society of South Coastal Georgia,,US +1,,,humanesociety@hsscg.org,,https://hsscg.org/,clean,no,,,Not found in database
Cat Rangers,,US +1,,,adoptions@catrangers.org,,https://www.catrangers.org/,clean,no,,,Not found in database
Etowah Valley Humane Society,,US +1,,,bryan.canty@etowahvalleyhumane.org,,https://www.etowahvalleyhumane.org/,clean,no,,,Not found in database
"Cedartown Animal Rescue, Education and Sterilization",,US +1,,,info.caresga@gmail.com,,http://www.caresga.org/,clean,no,,,Not found in database
Charles Smithgall Humane Society,,US +1,,,smithgallhumanesociety@windstream.net,,https://www.charlessmithgallhumanesociety.org/,clean,no,,,Not found in database
"Georgia Canine Rescue and Rehabilitation, Inc",,US +1,,,pittieprotector@yahoo.com,,https://www.facebook.com/GaCanineRescue/,clean,no,,,Not found in database
Colbert Veterinary Rescue,,US +1,,,info@colbertvetrescue.org,,https://colbertvetrescue.org/,clean,no,,,Not found in database
"Doberman Rescue of Rockdale, Inc",,US +1,,,cruzmine@comcast.net,,https://www.dobermanrescueofrockdale.com/,clean,no,,,Not found in database
Lake Blackshear Dog Rescue,,US +1,,,lakeblacksheardogrescue@gmail.com,,https://www.facebook.com/lakeblacksheardogrescue/,clean,no,,,Not found in database
Canine Pet Rescue,,US +1,,,sean@caninepetrescue.com,,https://www.caninepetrescue.com/home/,clean,no,,,Not found in database
Jennifer's Pet Rescue,,US +1,,,JPR@jenniferspetrescue.com,,https://jenniferspetrescue.com/,clean,no,,,Not found in database
Kitty City Cat Rescue,,US +1,,,kittycitymacon@yahoo.com,,https://www.kittycitycatrescue.com/,clean,no,,,Not found in database
Oakhurst Guinea Pig Rescue,,US +1,,,thomas.pederson@ogpr.org,,http://www.ogpr.org/,clean,no,,,Not found in database
PAWS Atlanta,,US +1,,,,,https://pawsatlanta.org/,clean,no,,,Not found in database
Georgia Doberman Rescue,,US +1,,,contact@georgiadobermanrescue.com,,https://www.georgiadobermanrescue.com/,clean,no,,,Not found in database
Planned PEThood of Georgia,,US +1,,,info@pethoodga.org,,https://pethoodga.org/,clean,no,,,Not found in database
Homeward Bound Pet Rescue,,US +1,,,,,https://hbpr.org//,clean,no,,,Not found in database
CSRA Chihuahua Rescue Inc.,,US +1,,,Csrachihuahuarescue@gmail.com,,,clean,no,,,Not found in database
"RescueCats, Inc.",,US +1,,,rescuecats@hotmail.com,,https://www.rescuecats.org/home.aspx,clean,no,,,Not found in database
Save-A-Pet Inc,,US +1,,,adoptions@saveapetil.org,,https://www.saveapetil.org/,clean,no,,,Not found in database
"Southern Comfort Animal Rescue, Inc.",,US +1,,,socorescue@yahoo.com,,https://www.socorescue.com/info/display?PageID=10777,clean,no,,,Not found in database
Oconee Regional Humane Society,,US +1,,,orhs@orhspets.org,,https://www.orhspets.org/,clean,no,,,Not found in database
Oregon Dog Rescue,,US +1,,,info@oregondogrescue.org,,https://www.oregondogrescue.org/,clean,no,,,Not found in database
Liberty Humane Shelter,,US +1,,,libertyhumaneshelter@yahoo.com,,http://libertyhumaneshelter.com/,clean,no,,,Not found in database
Pick of the Litter,,US +1,,,ourpickofthelitter@gmail.com,,http://ourpickofthelitter.com/,clean,no,,,Not found in database
BarkVille Dog Rescue,,US +1,,,info@barktowndogrescue.org,,https://www.barkvilledogrescue.org/,clean,no,,,Not found in database
"Mostly Mutts Animal Rescue and Adoption, Inc.",,US +1,,,info@mostlymutts.org,,,clean,no,,,Not found in database
"Bliss Animal Haven, Inc",,US +1,,,blissdogs@gmail.com,,http://blissanimalhavenpets.blogspot.com/,clean,no,,,Not found in database
"Safe Hollow Animal Sanctuary, Inc.",,US +1,,,safehollow@aol.com,,https://www.facebook.com/SafeHollow2/,clean,no,,,Not found in database
Furever After Rescue,,US +1,,,fureverafterrescuega@gmail.com,,http://www.fureverafterrescue.org/index.html,clean,no,,,Not found in database
"Habitat 4 Hounds, Inc.",,US +1,,,attentionh4h@gmail.com,,https://www.facebook.com/Habitat4Hounds/,clean,no,,,Not found in database
Heart of Georgia Humane Societ,,US +1,,,adopt@heartofgahs.org,,http://www.heartofgahs.org/about.html,clean,no,,,Not found in database
"Mutt Madd-ness, Inc.",,US +1,,,info@muttmaddness.org,,http://www.muttmaddness.org/,clean,no,,,Not found in database
Animals Deserve Better | Paws for Life,,US +1,,,kimberly@animalsdeservebetter.org,,https://animalsdeservebetter.org/,clean,no,,,Not found in database
Homeless Pets Foundation,,US +1,,,,,https://homelesspets.com/,clean,no,,,Not found in database
Our Pal's Place,,US +1,,,helpanimals@ourpalsplace.org,,,clean,no,,,Not found in database
Fancy Feline Rescue of the South,,US +1,,,FancyFelineResQ@bellsouth.net,,https://www.fancyfelinerescue.org/,clean,no,,,Not found in database
Hearts To Homes Humane Society Inc.,,US +1,,,ashleyskinner@hthhs.org,,https://www.hthhs.org/,clean,no,,,Not found in database
Georgia Heartland Humane Society,,US +1,,,gaheartland3@yahoo.com,,https://www.georgiaheartlandhumanesociety.org/,clean,no,,,Not found in database
Newnan-Coweta Humane Society,,US +1,,,nchs@nchsrescue.org,,https://www.nchsrescue.org/,clean,no,,,Not found in database
The Bullpen Way Station & Sanctuary,,US +1,,,bullpenrescue@gmail.com,,http://www.bullpenrescue.org/,clean,no,,,Not found in database
The Lap Cat Rescue & Rehabilitation Inc,,US +1,,,tlcrescueandrehab@gmail.com,,https://www.tlcrescueandrehab.org/,clean,no,,,Not found in database
"Georgia Animal Rescue & Defence, Inc",,US +1,,,office@GARDonline.org,,https://www.gardonline.org/,clean,no,,,Not found in database
Georgia Homeless Pets,,US +1,,,adoptions@gahomelesspets.com,,https://gahomelesspets.org/,clean,no,,,Not found in database
Husky Pack Rescue,,US +1,,,huskypackrescue@live.com,,,clean,no,,,Not found in database
Kitty Angel Rescue,,US +1,,,info@kittyangelrescueinc@gmail.com,,https://kittyangelrescue.org/,clean,no,,,Not found in database
Misfit Haven Animal Rescue /Adoption Center Inc.,,US +1,,,misfithavenanimalrescue@yahoo.com,,https://www.facebook.com/dr.nickadams1,clean,no,,,Not found in database
Tabby Tales Rescue,,US +1,,,meow@tabbytalesrescue.org,,https://tabbytalesrescue.org/,clean,no,,,Not found in database
Kudzu Cat Alliance,,US +1,,,meow@kudzucatalliance.org,,https://kudzucatalliance.org/,clean,no,,,Not found in database
"No Kill Glynn County, Inc.",,US +1,,,NoKillGlynnCounty@gmail.com,,https://www.nokillglynncounty.org/,clean,no,,,Not found in database
Save The Animals Rescue Society of Georgia,,US +1,,,starsgeorgia@yahoo.com,,https://www.starsgeorgia.com/,clean,no,,,Not found in database
"The Humane Society of Statesboro & Bulloch County, Inc.",,US +1,,,borohumane@gmail.com,,https://www.statesborohumane.org/,clean,no,,,Not found in database
TLC Pet Rescue,,US +1,,,tlcpetrescue@gmail.com,,https://tlcpetrescue.wixsite.com/tlc-pet-rescue-,clean,no,,,Not found in database
Atlanta Animal Rescue Friends,,US +1,,,info@aarfatlanta.org,,https://www.aarfatlanta.org/,clean,no,,,Not found in database
Thomasville-Thomas County Humane Society,,US +1,,,INFO@thomasvillehumane.org,,https://www.thomasvillehumane.org/,clean,no,,,Not found in database
Miss Kitty Feline Sanctuary,,US +1,,,misskittysanctuary@gmail.com,,http://www.misskittysanctuary.com/,clean,no,,,Not found in database
2 HANDS SAVING 4 PAWS HUMANE SOCIETY INC,,US +1,,,2handssaving4pawshumanesociety@gmail.com,,https://www.2handssaving4pawshs.com/,clean,no,,,Not found in database
Paws4Life Humane Shelter,,US +1,,,bmcclain@rabunpaws4life.com,,https://rabunpaws4life.com/,clean,no,,,Not found in database
Pound Puppies 'N Kittens,,US +1,,,info@ppnk.org&subject=[ppnk],,http://www.ppnk.org/,clean,no,,,Not found in database
Washington-Wilkes Animal Shelter,,US +1,,,358wwas@gmail.com,,https://washingtonwilkesanimalshelter.org/,clean,no,,,Not found in database
Cat Adoption Center at Pet Supplies Plus,,US +1,,,adopt@athenshumanesociety.org,,https://athenshumanesociety.org/,clean,no,,,Not found in database
Old Fella Burke County Animal Rescue,,US +1,,,info@oldfella.org,,http://oldfella.net/,clean,no,,,Not found in database
Pup & Cat Co.,,US +1,,,contact@pupandcatco.com,,https://www.pupandcatco.com/,clean,no,,,Not found in database
Purr Nation Cat Alliance,,US +1,,,adopt@purrnation.org,,https://www.purrnation.org/,clean,no,,,Not found in database
We Are Rescue,,US +1,,,butlerkristen@yahoo.com,,,clean,no,,,Not found in database
"North Georgia Animal Alliance, Inc.",,US +1,,,ngaa.animals@gmail.com,,https://www.northgeorgiaanimalalliance.org/home.html,clean,no,,,Not found in database
East Maui Animal Refuge,,US +1,,,admin@eastmauianimalrefuge.org,,https://www.eastmauianimalrefuge.org/,clean,no,,,Not found in database
MPR Maui Pitbull Rescue,,US +1,,,mauipitbullrescue@hotmail.com,,https://www.facebook.com/100064887931852/info/,clean,no,,,Not found in database
CatFriends,,US +1,,,info@hicatfriends.org,,https://www.hicatfriends.org/,clean,no,,,Not found in database
Hawaii Dog Foundation,,US +1,,,info@HawaiiDogFoundation.org,,https://www.hawaiidogfoundation.org/,clean,no,,,Not found in database
Love A Cat Charity,,US +1,,,cathelp@loveacatcharity.org,,http://www.loveacatcharity.org/,clean,no,,,Not found in database
KAAAWA K9 RESCUE,,US +1,,,info@kk9r.org,,https://www.kk9r.org/,clean,no,,,Not found in database
KARES - Kohala Animal Relocation and Education Service,,US +1,,,kareshawaii@gmail.com,,https://www.kareshawaii.org/,clean,no,,,Not found in database
Oahu SPCA,,US +1,,,info@oahuspca.org,,https://oahuspca.org/,clean,no,,,Not found in database
Poi Dogs and Popoki,,US +1,,,adoptions@poidogsandpopoki.org,,https://www.poidogsandpopoki.org/,clean,no,,,Not found in database
Aloha Ilio Rescue,,US +1,,,officeteam@alohailiorescue.com,,https://www.alohailiorescue.com/,clean,no,,,Not found in database
9th Life Hawaii,,US +1,,,,,http://9thlifehawaii.org/site/index.php,clean,no,,,Not found in database
Hui Pono Holoholona,,US +1,,,paws@hphhawaii.org,,https://www.hphhawaii.org/,clean,no,,,Not found in database
Feline Foundation of Maui,,US +1,,,felinefoundation@yahoo.com,,http://www.mauicats.com/,clean,no,,,Not found in database
K9 Kokua,,US +1,,,,,https://www.k9kokua.org/,clean,no,,,Not found in database
The Hawaii SPCA,,US +1,,,hawaiispca@gmail.com,,https://www.thehawaiispca.org/,clean,no,,,Not found in database
Idaho Humane Society Adoption Center,,US +1,,,info@idahohumanesociety.org,,https://idahohumanesociety.org/,clean,no,,,Not found in database
Idaho Saint Bernard Rescue,,US +1,,,saintrescueidaho@gmail.com,,https://www.idahosaintbernardrescue.com/,clean,no,,,Not found in database
Simply Cats,,US +1,,,info@simplycats.org,,https://simplycats.org/,clean,no,,,Not found in database
"Second Chance Animal Adoption, Inc",,US +1,,,secondchanceanimaladoptionid@gmail.com,,https://www.secondchanceanimaladoption.com/,clean,no,,,Not found in database
Heart of Idaho Animal Sanctuary,,US +1,,,hias@custertel.net,,https://heartofid.org/,clean,no,,,Not found in database
The Ark Animal Shelter,,US +1,,,sheltermanager@thearkpets.org,,https://thearkpets.org/,clean,no,,,Not found in database
Take Me Home Dog Rescue,,US +1,,,takemehomedogrescue@gmail.com,,https://www.takemehomedogrescue.org/,clean,no,,,Not found in database
Pet Adoption League,,US +1,,,palofgc@gmail.com,,https://petadoptionleagueofgc.com/,clean,no,,,Not found in database
Gooding Dog Pound,,US +1,,,mkelley@goodingidaho.org,,https://www.facebook.com/profile.php?id=100068980457350,clean,no,,,Not found in database
Mountain Humane,,US +1,,,pets@mountainhumane.org,,https://mountainhumane.org/,clean,no,,,Not found in database
"Helping Hands Rescue, Inc.",,US +1,,,helpinghandsrescue22@gmail.com,,https://helpinghandsrescue.org/,clean,no,,,Not found in database
West Plains Regional Animal Shelter,,US +1,,,wprashelter@gmail.com,,https://www.facebook.com/Wpanimalshelter/,clean,no,,,Not found in database
"Happy Jack Cats, Inc",,US +1,,,happyjackcats@gmail.com,,https://www.happyjackcats.org/,clean,no,,,Not found in database
Idaho Horse Rescue,,US +1,,,robert@idahohorserescue.org,,https://idahohorserescue.org/,clean,no,,,Not found in database
Meridian Canine Rescue,,US +1,,,Info@meridianrescue.org,,https://meridianrescue.org/,clean,no,,,Not found in database
Conrad Strays Cat Rescue and Adoption,,US +1,,,ConradStrays@aol.com,,http://www.conradstrays.com/,clean,no,,,Not found in database
Animals Need Help of Bear Lake,,US +1,,,,,https://anhbearlake.org/,clean,no,,,Not found in database
Canyon County Pet Haven dba Pet Haven Cat Adoption Center,,US +1,,,ccpethaven@gmail.com,,,clean,no,,,Not found in database
Greyhound Rescue of Idaho,,US +1,,,greytbaby@msn.com,,http://www.greyhoundrescueofidaho.org/,clean,no,,,Not found in database
Bannock Humane Society Story,,US +1,,,bhs.idaho@gmail.com,,https://www.bannockhumanesociety.org/,clean,no,,,Not found in database
Heaths Haven,,US +1,,,info@heathshavenrescue.com,,https://www.heathshavenrescue.com/,clean,no,,,Not found in database
Priest River Animal Rescue & Critters Thrift Store,,US +1,,,pranimalhouse@hotmail.com,,https://pranimalrescue.org/,clean,no,,,Not found in database
Four Paws Pet Adoptions Inc,,US +1,,,fourpawspetadoptions@hotmail.com,,,clean,no,,,Not found in database
The Haven Animal Care Shelter,,US +1,,,havenacs@gmail.com,,https://www.havenacs.org/,clean,no,,,Not found in database
Créme de la Créme Animal Foundation,,US +1,,,cdlcanimals@yahoo.com,,https://cdlcanimals.org/,clean,no,,,Not found in database
Paws Place Adoption Center,,US +1,,,pawsplace1@yahoo.com,,http://www.pawspaws.org/,clean,no,,,Not found in database
Haven at the Paws Inn,,US +1,,,havenattheinn.com@gmail.com,,https://www.facebook.com/HavenAtThePawsInn/,clean,no,,,Not found in database
The Buddy Foundation,,US +1,,,buddyfoundation@att.ne,,https://www.thebuddyfoundation.org/,clean,no,,,Not found in database
ST. FRANCIS ANIMAL SANCTUARY,,US +1,,,director.sfas@gmail.com,,https://www.sfas.org/,clean,no,,,Not found in database
Fur Keeps Animal Rescue,,US +1,,,,,https://furkeepsanimalrescue.org/,clean,no,,,Not found in database
Aberdeen Area Humane Society,,US +1,,,aahsboard1200@gmail.com,,https://anewleashonlife.net/,clean,no,,,Not found in database
Benld Adopt-A-Pet,,US +1,,,aap1@frontiernet.net,,https://www.benldadoptapet.org/,clean,no,,,Not found in database
People and Animals in Community Together (PACT) Humane Society,,US +1,,,operations@pacthumanesociety.org,,https://www.pacthumanesociety.org/,clean,no,,,Not found in database
Central Illinois Sheltie Rescue,,US +1,,,info@illinoissheltierescue.com,,http://www.illinoissheltierescue.com/,clean,no,,,Not found in database
Perfect Paws Animal Rescue,,US +1,,,kirstie@perfectpawsanimalrescue.org,,https://perfectpawsanimalrescue.org/,clean,no,,,Not found in database
Making A Difference Rescue,,US +1,,,findmeahome2@sbcglobal.net,,https://makingadifferencerescue.com/,clean,no,,,Not found in database
ALIVE Rescue,,US +1,,,info@aliverescue.org,,https://www.aliverescue.org/,clean,no,,,Not found in database
The Anti-Cruelty Society,,US +1,,,marketing@anticruelty.org,,https://anticruelty.org/,clean,no,,,Not found in database
Be Fido's Friend,,US +1,,,info@befidosfriend.org,,https://www.befidosfriend.org/,clean,no,,,Not found in database
Chicago Pet Rescue,,US +1,,,savinganimals@chicagopetrescue.org,,https://www.chicagopetrescue.org/,clean,no,,,Not found in database
Famous Fido Rescue,,US +1,,,fido@FamousFidoRescue.com,,https://famousfidorescue.org/,clean,no,,,Not found in database
Feline Friends,,US +1,,,felinefriendsorg@gmail.com,,http://felinefriendschicago.org/,clean,no,,,Not found in database
Felines & Canines,,US +1,,,Abby@FelinesCanines.org,,https://www.felinescanines.org/,clean,no,,,Not found in database
German Shepherd Dog Rescue of Iowa,,US +1,,,info@gsdri.org,,https://gsdri.org/,clean,no,,,Not found in database
Harmony House for Cats,,US +1,,,info@hhforcats.org,,https://hhforcats.org/,clean,no,,,Not found in database
Lovin Life Rescue,,US +1,,,linda@lovinliferescue.org,,,clean,no,,,Not found in database
New Leash On Life - Chicago,,US +1,,,chicago@nlolchicago.org,,http://www.nlolchicago.org/,clean,no,,,Not found in database
One Tail at a Time,,US +1,,,media@onetail.org,,https://www.onetail.org/,clean,no,,,Not found in database
PAWS Chicago,,US +1,,,info@pawschicago.org,,https://www.pawschicago.org/,clean,no,,,Not found in database
Tree House Humane Society,,US +1,,,info@treehouseanimals.org,,https://treehouseanimals.org/,clean,no,,,Not found in database
Kitties For Keeps Rescue,,US +1,,,kittiesforkeepsrescue@gmail.com,,https://kittiesforkeepsrescue.com/,clean,no,,,Not found in database
Humane Society of Monroe,,US +1,,,info@helpingstrays.org,,https://helpingstrays.org/,clean,no,,,Not found in database
On Angels' Wings Pet Rescue,,US +1,,,jshager@onangelswings.org,,https://www.onangelswings.org/,clean,no,,,Not found in database
Purrfect Cat Rescue Inc.,,US +1,,,deb@purrfectcatrescue.com,,https://www.purrfectcatrescue.com/,clean,no,,,Not found in database
R.A.I.N. of Central Illinois Inc.,,US +1,,,rainrescue@gmail.com,,https://www.facebook.com/RAIN.RESCUE.ILLINOIS/,clean,no,,,Not found in database
Tails Humane Society Dog Training Center,,US +1,,,tailshumanesociety@tbc.net,,https://www.tailshumanesociety.org/,clean,no,,,Not found in database
Humane Society of Decatur and Macon County,,US +1,,,admin@hsdmc.org,,https://hsdmc.org/,clean,no,,,Not found in database
Tarzan's Safe Haven,,US +1,,,tarzansafehaven@gmail.com,,http://tarzansafehaven.inzerello.com/,clean,no,,,Not found in database
Metro East Humane Society,,US +1,,,info@mehs.org,,https://www.mehs.org/,clean,no,,,Not found in database
Effingham Co. Humane Society,,US +1,,,4paws@effinghamcountyhs.onmicrosoft.com,,,clean,no,,,Not found in database
Hoof Woof & Meow Animal Rescue,,US +1,,,info@hoofwoofmeow.org,,https://hoofwoofmeow.org/,clean,no,,,Not found in database
Safe Haven Humane Society of Jo Daviess County,,US +1,,,info@safehavenforpets.org,,https://safehavenforpets.org/,clean,no,,,Not found in database
Almost Home Foundation,,US +1,,,info@almosthomefoundation.org,,https://almosthomefoundation.org/,clean,no,,,Not found in database
Chicagoland Eskie Rescue,,US +1,,,ChicagolandEskieRescue@live.com,,https://chicagolandeskierescue.com/,clean,no,,,Not found in database
Community Animal Rescue Effort - CARE,,US +1,,,news@carenorthshore.org,,https://carenorthshore.org/,clean,no,,,Not found in database
Gateway 4 Paws,,US +1,,,gateway4paws@gmail.com,,https://gateway4paws.org/,clean,no,,,Not found in database
Clay County Animal Rescue & Shelter,,US +1,,,admin@claycountyshelter.com,,https://www.claycountyshelter.com/,clean,no,,,Not found in database
Friends Forever Humane Society,,US +1,,,Petsrus966@hotmail.com,,https://www.friendsforeverhs.org/,clean,no,,,Not found in database
Utopia for Pets,,US +1,,,utopiaforpets@yahoo.com,,,clean,no,,,Not found in database
Henry County Humane Society - Geneseo,,US +1,,,info@henrycountyhumanesociety.org,,http://www.henrycountyhumanesociety.org/,clean,no,,,Not found in database
Home Sweet Home Pet Rescue,,US +1,,,homesweethome9835@gmail.com,,http://homesweethomepetrescue.org/,clean,no,,,Not found in database
"POUND PETS, INC.",,US +1,,,poundpetsinc@gmail.com,,https://www.poundpetsinc.com/,clean,no,,,Not found in database
Wagging Hearts,,US +1,,,contactus@wagginghearts.org,,http://wagginghearts.org/,clean,no,,,Not found in database
Catty Shack,,US +1,,,,,http://cattyshackil.org/index.html,clean,no,,,Not found in database
Stray Animal Midway Shelter,,US +1,,,samsadoptions@gmail.com,,http://www.samsrescue.org/,clean,no,,,Not found in database
Free Spirit Siberian Rescue,,US +1,,,freespiritsiberianrescue@gmail.com,,http://www.huskyrescue.org/,clean,no,,,Not found in database
Tails of Hope,,US +1,,,tailsofhope@aol.com,,https://www.facebook.com/tailsofhope/,clean,no,,,Not found in database
Chicago Animal Advocates,,US +1,,,chicagoanimaladvocates@gmail.com,,,clean,no,,,Not found in database
Hoopeston Animal Rescue Team,,US +1,,,hartshelterteam@gmail.com,,https://hartshelter.org/,clean,no,,,Not found in database
Open Door Animal Sanctuary,,US +1,,,office@odas.org,,https://odas.org/,clean,no,,,Not found in database
Animal House Shelter,,US +1,,,info@animalhouseshelter.com,,https://www.animalhouseshelter.com/,clean,no,,,Not found in database
Fetching Tails Foundation,,US +1,,,Info@fetchingtailsfoundation.org,,https://www.fetchingtailsfoundation.org/,clean,no,,,Not found in database
Grahamville Rescue & Sanctuary,,US +1,,,digsk9.main@gmail.com,,https://www.digsk9.org/,clean,no,,,Not found in database
Hopeful Tails Animal Rescue,,US +1,,,hopefultailsadoptions@outlook.com,,https://hopefultailsanimalrescue.org/,clean,no,,,Not found in database
Paws Up 4 Rescue,,US +1,,,pawsup4rescue@gmail.com,,,clean,no,,,Not found in database
CatNap from the Heart,,US +1,,,catnapqueen@yahoo.com,,https://catnapfromtheheart.org/,clean,no,,,Not found in database
The A.R.K. Animal Shelter,,US +1,,,,,https://thearkanimalshelter.org/,clean,no,,,Not found in database
Cattails Feline Rescue,,US +1,,,thisisdnn@gmail.com,,https://cattailsks.weebly.com/,clean,no,,,Not found in database
Animal Education and Rescue,,US +1,,,Info@aear.org,,https://www.aear.org/,clean,no,,,Not found in database
Cat Guardians,,US +1,,,info@catguardians.org,,https://catguardians.org/,clean,no,,,Not found in database
Glory Bound Rescue Ranch,,US +1,,,jenniferfinkelman@yahoo.com,,https://www.gloryboundrr.org/,clean,no,,,Not found in database
Finding Forever Animal Rescue,,US +1,,,info@findingforeveranimalrescue.org,,http://www.findingforeveranimalrescue.org/,clean,no,,,Not found in database
Pet Project,,US +1,,,petprojectinc@gmail.com,,,clean,no,,,Not found in database
Just Animals Shelter,,US +1,,,adopt@justanimals.org,,https://justanimals.org/,clean,no,,,Not found in database
As Good as Gold – Golden Retriever Rescue of Illinois,,US +1,,,info@asgoodasgold.org,,https://www.asgoodasgold.org/,clean,no,,,Not found in database
Animal Aid Humane Society,,US +1,,,info@molineanimalaid.org,,https://www.molineanimalaid.org/site/,clean,no,,,Not found in database
K9s4U Dog Rescue,,US +1,,,info@k9s4u.org,,https://www.k9s4u.org/,clean,no,,,Not found in database
Salem Animal Rescue League,,US +1,,,info@sarlnh.org,,https://www.sarlnh.org/,clean,no,,,Not found in database
